Name,Link,UpcomingEvents,Place,Time
Unplugged Tribute Band,https://pittsburgh.events/tickets/unplugged-tribute-band/,1,Jergel's Rhythm Grille,"Dec 18, 2025 8:00 PM"
A Musical Christmas Carol,https://pittsburgh.events/tickets/a-musical-christmas-carol/,1,Byham Theater,"Dec 20, 2025 11:00 AM"
Trans-Siberian Orchestra,https://pittsburgh.events/tickets/trans-siberian-orchestra/,2,PPG Paints Arena,"Dec 20, 2025 2:30 PM"
Westmoreland Symphony Orchestra,https://pittsburgh.events/tickets/westmoreland-symphony-orchestra/,1,Palace Theatre - PA,"Dec 20, 2025 7:30 PM"
Cirque du Canines,https://pittsburgh.events/tickets/cirque-du-canines/,1,Capitol Theatre - Wheeling,"Dec 21, 2025 6:00 PM"
Midget Wrestling,https://pittsburgh.events/tickets/midget-wrestling/,1,Jergel's Rhythm Grille,"Dec 21, 2025 7:00 PM"
A Different Kind of Christmas,https://pittsburgh.events/tickets/a-different-kind-of-christmas/,1,Somerset Alliance Church,"Dec 21, 2025 7:00 PM"
Champions Of Magic,https://pittsburgh.events/tickets/champions-of-magic/,1,Lyell B Clay Concert Theatre - WVU,"Dec 22, 2025 7:30 PM"
The Harlem Globetrotters,https://pittsburgh.events/tickets/the-harlem-globetrotters/,2,PPG Paints Arena,"Dec 26, 2025 1:00 PM"
Craig Shoemaker,https://pittsburgh.events/tickets/craig-shoemaker/,5,Pittsburgh Improv,"Dec 26, 2025 7:00 PM"
Bill Toms and Hard Rain,https://pittsburgh.events/tickets/bill-toms-and-hard-rain/,1,Jergel's Rhythm Grille,"Dec 26, 2025 8:00 PM"
The Alt Rocks,https://pittsburgh.events/tickets/the-alt-rocks/,1,Jergel's Rhythm Grille,"Dec 27, 2025 8:00 PM"
Thunderstruck - A Tribute To AC/DC,https://pittsburgh.events/tickets/thunderstruck-a-tribute-to-ac-dc/,1,Wheeling Island Showroom,"Dec 27, 2025 8:00 PM"
Fan Halen - A Tribute To Van Halen,https://pittsburgh.events/tickets/fan-halen-a-tribute-to-van-halen/,1,Wheeling Island Showroom,"Dec 28, 2025 8:00 PM"
Clue - The Musical,https://pittsburgh.events/tickets/clue-the-musical/,2,Benedum Center,"Dec 30, 2025 7:30 PM"
