Name,Link,UpcomingEvents,Place,Time
Disney's Newsies the Musical,https://pittsburgh.events/tickets/disneys-newsies-the-musical/,5,Byham Theater,"Nov 6, 2025 7:30 PM"
Napoleon Dynamite - Film and Conversation,https://pittsburgh.events/tickets/napoleon-dynamite-film-and-conversation/,1,Metropolitan Theatre - WV,"Nov 6, 2025 8:00 PM"
North Mississippi Allstars,https://pittsburgh.events/tickets/north-mississippi-allstars/,1,Jergel's Rhythm Grille,"Nov 6, 2025 8:00 PM"
Bill Murray and His Blood Brothers,https://pittsburgh.events/tickets/bill-murray-and-his-blood-brothers/,1,Palace Theatre - PA,"Nov 6, 2025 8:00 PM"
The Wombats,https://pittsburgh.events/tickets/the-wombats/,1,Roxian Theatre,"Nov 6, 2025 8:00 PM"
Kathleen Edwards,https://pittsburgh.events/tickets/kathleen-edwards/,1,Thunderbird Cafe,"Nov 6, 2025 8:00 PM"
Billy Strings,https://pittsburgh.events/tickets/billy-strings/,3,PPG Paints Arena,"Nov 7, 2025 3:30 AM"
"Dancing Queen – Pittsburgh’s Hottest 70s & 80s Disco, Funk & Dance Band",https://pittsburgh.events/tickets/dancing-queen-pittsburghs-hottest-70s-80s-disco-funk-dance-band/,1,Cadence Clubhouse,"Nov 7, 2025 6:00 PM"
Hot Water Music,https://pittsburgh.events/tickets/hot-water-music/,1,Preserving Underground,"Nov 7, 2025 6:30 PM"
The Band Camino,https://pittsburgh.events/tickets/the-band-camino/,1,Stage AE,"Nov 7, 2025 7:00 PM"
Dwight Yoakam,https://pittsburgh.events/tickets/dwight-yoakam/,1,1st Summit Arena at Cambria County War Memorial,"Nov 7, 2025 7:00 PM"
Pete Holmes,https://pittsburgh.events/tickets/pete-holmes/,5,Pittsburgh Improv,"Nov 7, 2025 7:00 PM"
American Finals Rodeo,https://pittsburgh.events/tickets/american-finals-rodeo/,3,Garwood Arena,"Nov 7, 2025 7:00 PM"
Pittsburgh Panthers Women's Volleyball,https://pittsburgh.events/tickets/pittsburgh-panthers-womens-volleyball/,5,Fitzgerald Field House,"Nov 7, 2025 7:00 PM"
The Uncle Louie Variety Show,https://pittsburgh.events/tickets/the-uncle-louie-variety-show/,1,DeYor Performing Arts Center,"Nov 7, 2025 8:00 PM"
Austin Snell,https://pittsburgh.events/tickets/austin-snell/,1,Jergel's Rhythm Grille,"Nov 7, 2025 8:00 PM"
Change of Heart - Tom Petty Tribute,https://pittsburgh.events/tickets/change-of-heart-tom-petty-tribute/,1,Crafthouse Stage & Grill,"Nov 7, 2025 8:00 PM"
Knox - Artist,https://pittsburgh.events/tickets/knox-artist/,1,Mr Small's Theatre,"Nov 7, 2025 8:00 PM"
Doom Gong,https://pittsburgh.events/tickets/doom-gong/,1,Mr Small's Fun House,"Nov 7, 2025 8:00 PM"
West Virginia Mountaineers Football,https://pittsburgh.events/tickets/west-virginia-mountaineers-football/,2,Mountaineer Field at Milan Puskar Stadium,"Nov 8, 2025 3:30 AM"
Clarion Golden Eagles Football,https://pittsburgh.events/tickets/clarion-golden-eagles-football/,1,Clarion Memorial Stadium,"Nov 8, 2025 12:00 PM"
Robert Morris Colonials Football,https://pittsburgh.events/tickets/robert-morris-colonials-football/,2,Joe Walton Stadium,"Nov 8, 2025 12:00 PM"
Youngstown State Penguins Football,https://pittsburgh.events/tickets/youngstown-state-penguins-football/,2,Stambaugh Stadium,"Nov 8, 2025 2:00 PM"
Fortunate Youth,https://pittsburgh.events/tickets/fortunate-youth/,1,Spirit Hall,"Nov 8, 2025 3:00 PM"
Seether,https://pittsburgh.events/tickets/seether/,1,UPMC Events Center,"Nov 8, 2025 6:30 PM"
Black Flag,https://pittsburgh.events/tickets/black-flag/,1,Preserving Underground,"Nov 8, 2025 7:00 PM"
Chelcie Lynn - Trailer Trash Tammy,https://pittsburgh.events/tickets/trailer-trash-tammy/,1,Roxian Theatre,"Nov 8, 2025 7:00 PM"
Westmoreland Symphony Orchestra,https://pittsburgh.events/tickets/westmoreland-symphony-orchestra/,1,Palace Theatre - PA,"Nov 8, 2025 7:30 PM"
Dancing Queen - A Tribute To ABBA,https://pittsburgh.events/tickets/dancing-queen-a-tribute-to-abba/,1,Jergel's Rhythm Grille,"Nov 8, 2025 8:00 PM"
Gary Allan,https://pittsburgh.events/tickets/gary-allan/,1,Capitol Theatre - Wheeling,"Nov 8, 2025 8:00 PM"
My Life With The Thrill Kill Kult,https://pittsburgh.events/tickets/my-life-with-the-thrill-kill-kult/,1,Mr Small's Theatre,"Nov 8, 2025 8:00 PM"
Fleetwood Macked - Tribute to Fleetwood Mac,https://pittsburgh.events/tickets/fleetwood-macked/,1,Wheeling Island Showroom,"Nov 8, 2025 8:00 PM"
The Crane Wives,https://pittsburgh.events/tickets/the-crane-wives/,1,Stage AE,"Nov 8, 2025 8:00 PM"
