Date,Title,Time,Location,Summary,Link
2025-10-18,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-18,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-19,"Antisemitism, an American Tradition: Pamela Nadell in Conversation with Bret Stephens",1760904000,"Cohon University Center, McConomy Auditorium",Presented by The Tree of Life in partnership with Carnegie Mellon University,https://events.cmu.edu/event/26242-antisemitism-an-american-tradition-pamela-nadell
2025-10-19,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-19,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-19,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-19,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-19,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-19,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-20,Dining Student Advisory Committee (DSAC) Meeting,1760994000,"Connan Room, Cohon University Center",The Dining Student Advisory Committee (DSAC) is a student-led organization composed of undergraduate and graduate students dedicated to enhancing the Carnegie Mellon University Dining Services program.,https://events.cmu.edu/event/25719-dining-student-advisory-committee-dsac-meeting
2025-10-20,Webinar: How are AI-embedded products changing the way we think?,1761004800,Online,Join Integrated Innovation Institute professors Susanna Zlotnikov and Arthur Sugden in a conversation exploring how AI-embedded products and services are reshaping how people think and create.,https://events.cmu.edu/event/26212-webinar-how-are-ai-embedded-products-changing-the
2025-10-20,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-20,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-20,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-20,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-20,Mini-2 Classes Begin,All Day,,,https://events.cmu.edu/event/21997-mini-2-classes-begin
2025-10-20,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-20,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-21,Staff Supervisory Essentials Session,1761051600,University Technology Development Center,"Transitioning to a supervisory role is a mindset shift requiring new skills and responsibilities. Understanding your role, communicating effectively, managing performance, and awareness of legal responsibilities are key to your success. This session will introduce you to the essential concepts in each of these areas.",https://events.cmu.edu/event/22331-staff-supervisory-essentials-session
2025-10-21,Study Abroad Information Session,1761064200,"Cohon University Center, Danforth Conference Room","All students are welcome to learn more about study abroad opportunities at CMU, talk with the Study Abroad Team and speak with returned students.",https://events.cmu.edu/event/25474-study-abroad-information-session
2025-10-21,Research in Social and Decision Sciences,1761080400,Join via Zoom,"Learn more about the different kinds of research that goes on within SDS. If you are interested in participating in undergraduate research, then we encourage you to attend this event!",https://events.cmu.edu/event/25537-research-in-social-and-decision-sciences
2025-10-21,(Women’s Volleyball) Point Park vs. Carnegie Mellon,1761084000,,,https://events.cmu.edu/event/23873-womens-volleyball-point-park-vs-carnegie-mellon
2025-10-21,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-21,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-21,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-21,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-21,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-21,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-22,"Staff Supervisory Awareness Program: Session 401, Establishing Rapport and Setting Expectations",1761138000,,"Learn the importance of building rapport and trust within your organization, practice skills to build rapport within diverse groups, practice tools and strategies for setting and sharing expectations, and create a plan to strengthen your own skills in rapport building and expectation setting.",https://events.cmu.edu/event/22344-staff-supervisory-awareness-program-session-401
2025-10-22,Study Abroad Coffee Hour,1761152400,,All students are welcome to join and ask the Study Abroad team any questions they may have.,https://events.cmu.edu/event/25475-study-abroad-coffee-hour
2025-10-22,Carl &amp; Amy Jones Lecture in Interdisciplinary Science: Amy Robinson Sterling,1761166800,"McConomy Auditorium, Cohon University Center",This event is part of the 2025-2026 University Lecture Series and is free and open to the public.,https://events.cmu.edu/event/26146-carl-amy-jones-lecture-in-interdisciplinary-science-am
2025-10-22,Paws to Relax: Weekly Pet Therapy Program,1761172200,"Well-being Lab (Room 104), Wellness &amp; Meaning-Making Suite, First Floor, Highmark Center for Health, Wellness and Athletics","Volunteers through Animal Friend’s Therapet program will join us on Wednesdays, from 6:30-7:30 p.m., to offer some friendly dog companions for the hour.",https://events.cmu.edu/event/23772-paws-to-relax-weekly-pet-therapy-program
2025-10-22,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-22,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-22,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-22,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-22,Mid-Semester &amp; Mini-1 Grades Due by 4pm,All Day,,,https://events.cmu.edu/event/21996-mid-semester-mini-1-grades-due-by-4pm
2025-10-22,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-22,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-23,Libraries Workshop: Communicating Data: Data Visualization in R,1761235200,Online,,https://events.cmu.edu/event/24848-libraries-workshop-communicating-data-data
2025-10-23,AI-SDM Student Brainstorming Session,1761235200,Hybrid - 1327 Wean or online,Students meet regularly to participate in informal discussion sessions that delve into cutting-edge AI topics.,https://events.cmu.edu/event/25554-ai-sdm-student-brainstorming-session
2025-10-23,Libraries Workshop: Automating Python Data Workflows and Visualizations,1761238800,"Sorrells Library Den, Wean Hall",,https://events.cmu.edu/event/24849-libraries-workshop-automating-python-data
2025-10-23,Academic Freedom: From Professional Norm To First Amendment Right,1761253200,"Posner Hall, Grand Room (Posner 340)","The Phi Beta Kappa Society and the Carnegie Mellon Institute for Strategy & Technology (CMIST) invite you to a special Visiting Scholars Program event. Join us for an insightful talk by Professor David M. Rabban of the University of Texas School of Law, as he delves into the complex history of academic freedom—the subject of his new book, Academic Freedom: From Professional Norm To First Amendment Right.",https://events.cmu.edu/event/25703-academic-freedom-from-professional-norm-to-first
2025-10-23,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-23,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-23,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-23,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-23,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-23,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-24,Libraries Workshop: Series: Getting Started with C/C++,1761312600,Online,,https://events.cmu.edu/event/24850-libraries-workshop-series-getting-started-with-cc
2025-10-24,Astro Lunch Seminar: Erica Hammerstein (Berkeley),1761321600,Wean Hall (8330),,https://events.cmu.edu/event/26156-astro-lunch-seminar-erica-hammerstein-berkeley
2025-10-24,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-24,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
